40,-92,165
43,-88,166
44,-61,167
45,-42,165
45,-19,174
45,0,177
45,0,175
45,4,173
46,4,167
46,4,168
46,4,173
46,4,174
46,13,169
46,16,167
47,33,170
47,22,166
48,29,166
48,44,162
48,59,163
48,63,164
47,62,161
47,54,163
47,50,161
46,48,164
47,42,159
46,42,155
44,41,152
41,38,161
38,11,161
35,-63,164
33,-99,159
32,-163,159
37,-172,160
39,-175,160
43,-172,163
46,-141,159
46,-74,159
46,-74,162
46,0,167
46,12,166
49,17,160
53,28,159
57,96,146
58,151,94
56,171,61
56,198,66
57,213,59
58,219,54
59,217,49
60,216,41
62,217,41
63,212,16
64,213,16
65,210,0
66,205,0
66,204,-5
66,203,-5
67,199,-5
67,199,-5
67,191,-5
67,194,-5
66,196,-2
66,192,-2
67,191,0
66,188,0
66,185,0
67,184,0
67,184,0
67,192,0
67,189,-2
67,187,-6
68,184,-13
68,192,-28
68,196,-62
68,193,-83
69,196,-74
69,195,-59
68,194,-73
69,199,-86
69,187,-71
69,186,-72
69,183,-80
69,184,-91
69,188,-88
69,185,-83
69,182,-93
70,185,-90
69,179,-88
69,186,-103
69,185,-92
69,183,-84
69,192,-93
69,186,-89
69,185,-77
69,177,-80
69,173,-81
69,169,-74
69,165,-68
70,178,-79
69,186,-89
68,196,-96
67,199,-88
67,199,-80
67,193,-66
68,193,-48
68,194,-33
68,198,-28
68,204,-26
68,205,-39
68,205,-47
68,198,-52
68,200,-50
68,199,-47
68,196,-41
68,199,-45
68,191,-50
68,190,-54
67,197,-50
67,190,-44
68,191,-35
69,187,-30
69,191,-48
69,189,-73
70,186,-88
70,184,-109
71,190,-112
71,187,-126
71,188,-131
72,188,-133
72,191,-137
72,194,-140
72,188,-140
73,191,-146
74,189,-145
73,189,-143
74,192,-140
74,194,-141
74,187,-145
74,190,-144
74,190,-148
73,193,-143
74,198,-147
74,195,-150
74,197,-145
73,209,-151
73,209,-144
73,208,-148
72,213,-140
72,207,-140
71,207,-131
69,205,-132
67,203,-124
66,199,-93
65,199,-66
66,197,-48
66,194,-34
67,193,-25
67,198,-22
67,195,-26
66,195,-37
67,197,-43
66,194,-37
65,194,-30
